species;speciesKey;lat;lon;HFP09;Elevation;continents;Status;IUCNonly;time_period
Disperis kamerunensis;2805124;4.2;9.18;7.25100994110107;3543.0;{'AFRICA'};EXT;True;2041/2060
Disperis mildbraedii;2805126;5.56815;9.988925;7.567053437232969;961.5;{'AFRICA'};EXT;True;2041/2060
Disperis nitida;2805090;5.49295;10.024233333333333;9.677617430686949;2070.75;{'AFRICA'};EXT;True;2041/2060
Dracula tubeana;2818802;-0.2333;-78.8333;4.85249757766724;1993.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Dracula vlad-tepes;2818800;6.1082;-73.1973;13.0;1751.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Dryadella osmariniana;2825696;-2.8833;-59.97;13.0;96.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Eggelingia gabonensis;2837161;0.6333;10.35;1.85249757766724;736.0;{'AFRICA'};EXT;False;2041/2060
Elleanthus rhodolepis;2839337;-1.3;-78.5;13.5279340744019;2695.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Eloyella dalstroemii;2784960;-0.72;-77.7;17.0;1098.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Encyclia mapuerae;2827090;-2.1049;-59.0114;1.0;97.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum ciliipetalum;5951993;7.1101;-75.4949;11.7580013275146;1715.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum degranvillei;7649919;3.6;-53.2833;0.285611063241959;598.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum gloria-imperatrix;5952030;-5.0606;-78.8108;11.0;815.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum guagra-urcuense;5320869;-0.4667;-77.7333;3.2504734992981;3055.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum homoion;5319684;-0.66;-77.78;12.0;1532.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum imitans;5320707;0.21110000000000007;-74.61666666666667;6.752097129821794;1798.3333333333333;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum liguliferum;5321219;-9.5;-75.8333;4.25069570541382;2219.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum macrocyphum;5319974;-9.5;-75.8333;4.25069570541382;2219.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Epidendrum microtum;6315969;7.1797;-72.4097;12.0;1790.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
