level;speciesKey;lat;lon;HFP09;Elevation;continents;IUCNonly;broad;broad;broad;broad;broad;broad;broad;broad;broad;broad;detail;detail;detail;detail;detail;detail;detail;detail;detail;detail
Pleurothallis hoeijeri;2787425;0.9;-78.6;1.27296268939972;587.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;CR;CR;CR;CR;LC;LC;LC;LC;LC;LC
Pleurothallis holtonii;2787336;4.5405;-74.3122;28.131519317627;2814.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis homalantha;2787281;10.064144705882354;-83.94008941176472;12.13402683314155;1288.1882352941177;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis imbaburae;2786282;0.8666;-78.3666;4.48656558990479;1438.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;CR;CR;EN;LC;LC;LC;LC;LC;LC;LC
Pleurothallis imperialis;2787695;0.553825;-78.33375000000001;10.667212903499607;1513.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis incongrua;2787442;4.6667;-76.3333;5.0;1374.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;CR;CR;CR;CR;CR;LC;LC;LC;LC;LC
Pleurothallis index;2787389;0.8691500000000001;-78.50085;10.517213463783275;802.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;EN;EN;EN;LC;LC;LC;LC;LC
Pleurothallis inflata;2787273;2.25435;-75.51;6.857580661773685;2797.5;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis inornata;2787174;-3.2874999999999996;-78.5415;7.727281570434565;1498.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis instar;2787034;8.727766666666666;-82.22463333333333;10.333333333333334;1158.3333333333333;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis isthmica;2786612;9.817222222222222;-83.40525555555556;9.697330368889702;1391.5555555555557;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis jaculifera;2786555;5.1494;-76.0135;8.72822380065918;2191.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis jupiter;2787546;-0.4428125;-78.70762500000001;7.5197148472070685;2899.375;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis kerrii;2787114;1.6577833333333334;-66.76001666666667;2.02133278052012;118.16666666666667;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;EN;EN;EN;LC;EN
Pleurothallis killipii;2787067;4.799493333333333;-73.99169333333334;14.591735363006594;2930.133333333333;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis knappiae;2786983;8.56665;-81.45835;3.7768763303756696;1414.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis lacera;2786803;0.025359999999999973;-78.61616000000001;6.2146659851074215;2107.4;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis lamellaris;2786621;-16.1167;-68.1167;8.0;3119.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;EN;EN;EN;LC;LC;LC;LC;LC;LC;LC
Pleurothallis lemniscifolia;2787001;-0.8694;-79.1111;6.25017023086548;750.0;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;EN
Pleurothallis lenae;2786968;-1.9000000000000001;-78.67500000000001;6.49533438682556;1472.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis leopardina;2786724;-4.421;-79.15100000000002;6.0;2600.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;CR;CR;LC;CR;CR;CR;LC;LC
Pleurothallis leucantha;2786458;14.261728205128206;-89.4988923076923;7.766629903744429;1444.5128205128206;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis lilijae;2787699;0.7930692307692307;-76.63896666666666;10.259431423285069;2791.4102564102564;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis lindenii;2787597;5.376507692307692;-74.88033846153846;15.675526096270639;2611.8846153846152;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis linguifera;2787242;-1.9120933333333334;-77.02516333333332;10.823855143785474;2579.7;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis litotes;2786880;-1.976857142857143;-78.61138571428572;14.569940226418636;3132.4285714285716;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis loejtnantii;2786597;0.6167;-77.5;7.72822380065918;2677.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;CR;CR;CR;CR;LC;LC;LC;LC;LC;LC
Pleurothallis longipedicellata;2786389;8.427981818181818;-82.93598181818182;10.486311782490123;1682.090909090909;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis loranthophylla;2787706;-8.461705882352941;-71.43384117647058;7.138386102283704;1137.8235294117646;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis luctuosa;2787557;7.74926923076923;-83.35026153846154;14.248194615046172;857.1538461538462;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis macra;2787359;-0.4395882352941176;-78.78156470588235;7.58838220904855;2616.4117647058824;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis macrocardia;2787200;-0.8332999999999999;-78.58335;8.87769269943239;2546.5;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;LC
Pleurothallis maduroi;2786635;8.8667;-82.5667;15.0;2047.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;CR;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis mantiquyrana;2787844;-22.5089;-43.1785;38.0;837.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;LC
Pleurothallis marthae;2787602;3.409;-76.55879999999999;15.92697048187255;914.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis mastodon;2787459;0.8333;-78.4667;3.75297474861145;934.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;EN;LC;LC;LC;LC;LC;LC
Pleurothallis matinhensis;2787345;-27.355;-50.325825;12.421868562698364;683.25;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis matudana;2787249;11.160624210526315;-87.30610315789473;9.370738689522993;1638.1368421052632;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis megalotis;2786678;-2.1007333333333333;-78.07536666666667;5.68367290496827;1529.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;LC;EN;LC;LC;LC;LC;LC;EN;LC
Pleurothallis melanosticta;2786446;-2.8182;-78.4496;5.5;1980.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;LC;LC;LC;LC;LC;LC;LC
Pleurothallis membracidoides;2786326;1.2119;-77.9825;11.0;1500.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis microcardia;2787560;5.594463636363636;-74.22334545454545;13.146938107230442;1929.1818181818182;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis millei;2786821;0.8667;-78.1333;3.85249757766724;2317.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis miniatolineolata;2786702;-23.6545;-46.6219;31.6295471191406;813.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;LC
Pleurothallis miranda;2787897;-0.003;-78.658;7.0;2049.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;EN
Pleurothallis mundula;2786647;4.2927;-74.86255;10.255321025848371;2896.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis muriculata;2786422;-3.5;-78.42;2.25414443016052;1346.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;EN;CR;LC;EN;LC
Pleurothallis nasiterna;2787444;0.65308;-77.59646000000001;12.048091220855712;3012.6;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis nephroglossa;2786825;-2.8095;-78.7225;8.0416316986084;2644.25;{'SOUTHERN AMERICA'};False;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;LC
Pleurothallis nipterophylla;2786515;-4.0249500000000005;-79.09975;10.340742588043215;2477.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;EN;EN;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis niveoglobula;2786375;-1.5260357142857142;-77.99492142857142;10.874883824161117;1075.642857142857;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis nutans;2787574;6.08385;-73.16877500000001;6.62751078605652;1912.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis ocellus;2787119;-2.7167;-78.25;7.51675462722778;625.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;LC
Pleurothallis odobeniceps;2786648;6.6478;-75.6725;7.68151092529297;3063.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis omoglossa;2786468;-3.07208;-78.66032;9.31862354278565;1720.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis onagriceps;2786447;-3.7828999999999997;-78.62835;4.80974793434143;1150.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;EN;EN;EN;EN;LC;LC;LC;LC;LC;EN
Pleurothallis oncoglossa;2786391;9.952033333333334;-84.08536666666667;6.6616986592610665;1155.6666666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis pallida;2786668;8.7028;-79.90536666666667;15.000938733418765;374.6666666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis palliolata;2786638;10.12877894736842;-84.32012105263158;12.546857934249072;1598.7894736842106;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis pandurata;2786433;-3.81;-78.61;2.33804368972778;1432.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;CR;CR;LC;LC;LC;LC;LC;LC
Pleurothallis pansamalae;2786313;15.975225531914894;-91.2398744680851;7.820664973969155;1330.404255319149;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis paquishae;2787607;-2.2355;-78.1935;7.15175437927246;1497.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis parviflora;2787218;-0.408;-78.032;5.0;2507.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;CR;CR;CR;LC;LC;LC;LC;LC
Pleurothallis peculiaris;2786650;9.2814;-82.36436666666667;5.494033813476563;1004.6666666666666;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis pedunculata;2786536;7.5048666666666675;-73.72500000000001;7.569189389546714;1779.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis pelex;2786471;-0.09;-77.59;12.2814521789551;1649.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;CR;CR;CR;CR;EN;LC;LC;LC;LC;LC
Pleurothallis penduliflora;2787861;1.833825;-77.00642500000001;17.5134916305542;2313.25;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis penelops;2787828;-2.3833;-79.1667;5.26244497299194;1735.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis penicillata;2787796;1.2119;-77.9825;11.0;1500.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis perijaensis;2787178;1.8248499999999999;-75.5946;16.5;1507.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis peroniocephala;2787059;-2.968928571428571;-78.65031428571429;12.214288439069476;1715.857142857143;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis perryi;2786872;-2.037325;-79.2775;8.416053593158736;815.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis phalangifera;2786520;2.1011803571428573;-75.54813035714287;14.75346469666277;2524.9464285714284;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis phratria;2786436;-1.4;-78.1;3.29799747467041;1488.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis phyllocardia;2786377;9.317780303030304;-83.1859893939394;8.785418300917655;1734.5757575757575;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis phyllocardioides;2786337;6.856090217391305;-82.2056054347826;10.065480913187484;725.6413043478261;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis phymatodea;2787902;-1.2955;-78.09700000000001;8.618333578109755;1423.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;EN;LC;LC;LC;EN;LC;LC;LC;LC;LC
Pleurothallis podoglossa;2787192;-27.73;-48.75;7.017587423324585;220.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Pleurothallis portillae;2786239;-3.9781;-79.12327499999999;18.5;2274.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis praecipua;2787659;-0.09;-77.59;12.2814521789551;1649.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;CR;CR;CR;CR;EN;LC;LC;LC;EN;EN
Pleurothallis prolaticollaris;2787181;-0.21617068965517242;-78.82299655172413;5.2542371955411165;1590.155172413793;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis prostrata;9505672;20.0133;-76.0623;10.5708169937134;1009.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis pruinosa;2786875;5.463943103448276;-70.68160172413793;7.852015518271995;452.7931034482759;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis pseudopogon;2786789;0.52;-77.87;21.0;2705.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;CR;CR;LC;EN;LC;CR;CR;CR
Pleurothallis pterophora;2786431;-21.19335;-42.626149999999996;14.704757928848268;1136.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis ptychophora;2786559;-3.2039999999999997;-78.58500000000001;4.545241832733154;1931.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;CR;CR;CR;CR;CR;CR;CR;LC;LC;LC
Pleurothallis pulvinaris;2786316;6.4098500000000005;-75.62915000000001;24.840755462646484;2316.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis punctulata;2787610;7.321575;-73.405975;10.64953100681305;2737.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Pleurothallis radula;2786359;9.7834;-83.7519;7.75795125961304;951.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
